image,name_ja,スピアーズ,日本人
北川賢吾.jpg,北川 賢吾,スピアーズ,1
松波昭哉.jpg,松波 昭哉,スピアーズ,1
才田智.jpg,才田 智,スピアーズ,1
海士広大.jpg,海士 広大,スピアーズ,1
オペティヘル.jpg,オペティ・ヘル,スピアーズ,0
山本剣士.jpg,山本 剣士,スピアーズ,1
紙森陽太.jpg,紙森 陽太,スピアーズ,1
加藤一希.jpg,加藤 一希,スピアーズ,1
甲斐登生.jpg,甲斐 登生,スピアーズ,1
イジソード.jpg,イジ―・ソード,スピアーズ,0
為房慶次朗.jpg,為房 慶次朗,スピアーズ,1
大熊克哉.jpg,大熊 克哉,スピアーズ,1
マルコムマークス.jpg,マルコム・マークス,スピアーズ,0
福田陸人.jpg,福田 陸人,スピアーズ,1
スカルクエラスマス.jpg,スカルク・エラスマス,スピアーズ,0
江良颯.jpg,江良 颯,スピアーズ,1
青木祐樹.jpg,青木 祐樹,スピアーズ,1
ルアンボタ.jpg,ルアン・ボタ,スピアーズ,0
松井丈典.jpg,松井 丈典,スピアーズ,1
デーヴィッドブルブリング.jpg,デーヴィッド・ブルブリング,スピアーズ,0
堀部直壮.jpg,堀部 直壮,スピアーズ,1
デーヴィッドヴァンジーランド.jpg,デーヴィッド・ヴァンジーランド,スピアーズ,0
アキライエレミア.jpg,アキラ・イエレミア,スピアーズ,0
浅井勇暉.jpg,浅井 勇暉,スピアーズ,1
ピーターラピースラブスカフニ.jpg,"ピーター""ラピース""ラブスカフニ",スピアーズ,0
末永健雄.jpg,末永 健雄,スピアーズ,1
トゥパフィナウ.jpg,トゥパ フィナウ,スピアーズ,0
土谷深浩.jpg,土谷 深浩,スピアーズ,1
玉置将也.jpg,玉置 将也,スピアーズ,1
梁本旺義.jpg,梁本 旺義,スピアーズ,1
梁川賢吉.jpg,梁川 賢吉,スピアーズ,1
オリーストーンハム.jpg,オリー・ストーンハム,スピアーズ,0
メルヴェオリヴィエ.jpg,メルヴェ・オリヴィエ,スピアーズ,0
上ノ坊悠馬.jpg,上ノ坊 悠馬,スピアーズ,1
ハリーウィラード.jpg,ハリー・ウィラード,スピアーズ,0
ファウルアマキシ.jpg,ファウルア・マキシ,スピアーズ,0
アシペリモアラ.jpg,アシペリ・モアラ,スピアーズ,0
タイラーポール.jpg,タイラー・ポール,スピアーズ,0
岡田一平.jpg,岡田 一平,スピアーズ,1
谷口和洋.jpg,谷口 和洋,スピアーズ,1
古賀駿汰.jpg,古賀 駿汰,スピアーズ,1
藤原忍.jpg,藤原 忍,スピアーズ,1
溝渕元気.jpg,溝渕 元気,スピアーズ,1
ブリンホール.jpg,ブリン・ホール,スピアーズ,0
バーナードフォーリー.jpg,バーナード・フォーリー,スピアーズ,0
岸岡智樹.jpg,岸岡 智樹,スピアーズ,1
押川敦治.jpg,押川 敦治,スピアーズ,1
立川理道.jpg,立川 理道,スピアーズ,1
テアウパシオネ.jpg,テアウパ シオネ,スピアーズ,0
リカスプレトリアス.jpg,リカス・プレトリアス,スピアーズ,1
ハラトアヴァイレア.jpg,ハラトア・ヴァイレア,スピアーズ,0
二村莞司.jpg,二村 莞司,スピアーズ,1
廣瀬雄也.jpg,廣瀬 雄也,スピアーズ,1
近藤翔耶.jpg,近藤 翔耶,スピアーズ,1
山﨑洋之.jpg,山﨑 洋之,スピアーズ,1
木田晴斗.jpg,木田 晴斗,スピアーズ,1
根塚洸雅.jpg,根塚 洸雅,スピアーズ,1
松下怜央.jpg,松下 怜央,スピアーズ,1
ジニングスツヨシ.jpg,ジニングス ツヨシ,スピアーズ,0
ゲラードファンデンヒーファー.jpg,ゲラード・ファンデンヒーファー,スピアーズ,0
島田悠平.jpg,島田 悠平,スピアーズ,1
山田響.jpg,山田 響,スピアーズ,1
ショーンスティーブンソン.jpg,ショーン・スティーブンソン,スピアーズ,0
